precip,temp_max,temp_min
0.01,0.0,-4.0
0.0,37.0,11.0
0.12,84.0,53.0
0.02,23.0,6.0
0.0,25.0,4.0
0.0,50.0,34.0
0.01,51.0,28.0
0.2,67.0,47.0
0.0,78.0,52.0
0.01,32.0,0.0
0.0,-7.0,-16.0
0.16,59.0,33.0
0.0,61.0,50.0
0.01,16.0,0.0
0.01,46.0,1.0
1.72,62.0,52.0
0.0,44.0,28.0
0.0,71.0,48.0
0.0,31.0,18.0
0.0,23.0,17.0
0.0,25.0,0.0
0.0,47.0,24.0
0.04,75.0,39.0
0.0,70.0,36.0
0.0,6.0,2.0
0.01,71.0,47.0
0.0,17.0,8.0
0.0,52.0,33.0
0.0,21.0,9.0
0.0,23.0,18.0
0.0,28.0,14.0
0.0,68.0,38.0
0.0,70.0,46.0
0.0,88.0,54.0
0.0,40.0,17.0
0.0,38.0,14.0
0.05,27.0,16.0
0.0,56.0,37.0
0.0,38.0,10.0
0.6,54.0,44.0
0.0,76.0,58.0
0.0,78.0,54.0
0.0,40.0,24.0
0.05,19.0,2.0
0.0,52.0,29.0
0.0,60.0,32.0
0.01,36.0,25.0
0.0,45.0,24.0
0.11,61.0,39.0
0.04,36.0,28.0
0.04,79.0,56.0
0.16,65.0,53.0
0.0,36.0,17.0
0.0,51.0,31.0
0.07,63.0,44.0
0.04,14.0,-4.0
0.2,48.0,20.0
0.0,75.0,39.0
0.02,65.0,44.0
0.0,76.0,47.0
0.0,74.0,46.0
0.0,78.0,52.0
0.0,25.0,17.0
0.0,63.0,31.0
0.0,42.0,23.0
0.0,60.0,33.0
0.0,73.0,49.0
0.12,69.0,49.0
0.0,41.0,15.0
0.05,-1.0,-7.0
0.0,58.0,32.0
0.0,59.0,38.0
0.0,71.0,35.0
0.0,75.0,54.0
0.0,70.0,50.0
0.0,68.0,40.0
0.02,33.0,0.0
0.0,20.0,13.0
0.0,41.0,22.0
0.0,41.0,23.0
0.01,64.0,33.0
0.0,49.0,20.0
0.0,86.0,53.0
0.0,65.0,33.0
0.0,39.0,20.0
0.0,46.0,31.0
0.01,18.0,-13.0
0.17,51.0,44.0
0.02,-6.0,-14.0
0.49,68.0,51.0
0.01,-14.0,-25.0
0.37,67.0,53.0
0.02,39.0,6.0
0.24,64.0,44.0
0.0,46.0,23.0
0.08,46.0,41.0
0.0,41.0,8.0
0.0,73.0,50.0
0.0,70.0,41.0
0.0,76.0,51.0
0.0,59.0,37.0
0.01,14.0,-5.0
0.0,30.0,5.0
0.0,40.0,16.0
0.0,19.0,8.0
0.34,18.0,13.0
0.01,40.0,23.0
0.0,73.0,59.0
0.0,47.0,24.0
0.08,68.0,47.0
2.05,46.0,40.0
0.0,80.0,45.0
0.0,74.0,35.0
0.0,51.0,19.0
0.22,60.0,48.0
0.0,44.0,22.0
0.0,33.0,4.0
0.0,42.0,6.0
0.0,-5.0,-9.0
0.08,61.0,49.0
0.01,-8.0,-18.0
0.0,45.0,30.0
0.0,50.0,34.0
0.0,44.0,22.0
0.0,79.0,41.0
0.0,15.0,3.0
0.0,42.0,18.0
0.0,65.0,33.0
0.0,86.0,52.0
0.0,49.0,20.0
0.0,53.0,32.0
0.0,67.0,35.0
0.02,45.0,18.0
0.0,62.0,31.0
0.05,51.0,26.0
0.0,68.0,45.0
0.0,40.0,26.0
0.0,29.0,-5.0
0.0,42.0,-7.0
0.01,20.0,11.0
0.01,78.0,45.0
0.0,55.0,24.0
0.0,58.0,29.0
0.41,41.0,33.0
0.0,63.0,39.0
0.0,67.0,40.0
0.0,69.0,35.0
0.02,31.0,15.0
0.0,68.0,24.0
0.0,49.0,24.0
0.31,76.0,48.0
0.03,22.0,12.0
0.01,72.0,48.0
0.02,69.0,52.0
0.0,40.0,16.0
0.0,62.0,42.0
