"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-22","0.00","1.2",,"26","8",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-23","0.01","1.2",,"18","13",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-24","0.10","2.4",,"13","-1",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-25","0.00","3.5",,"-1","-8",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-26","0.00","4.3",,"-3","-11",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-27","0.00","3.9",,"25","-9",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-02-28","0.00","3.9",,"18","-9",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-01","0.00","3.9",,"36","8",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-02","0.00","3.5",,"54","15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-03","0.39","2.0",,"44","29",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-04","0.00","1.6",,"44","23",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-05","0.00","0.8",,"37","4",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-06","0.00","1.2",,"24","-2",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-07","0.13","0.8",,"39","15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-08","0.03","2.0",,"19","-6",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-09","0.00","1.6",,"-5","-16",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-10","0.00","2.0",,"-7","-16",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-11","0.00","2.0",,"14","-16",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-12","0.00","2.0",,"42","4",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-13","0.00","1.6",,"51","34",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-14","0.00","0.4",,"48","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-15","0.00","0.4",,"44","17",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-16","0.00","0.8",,"25","17",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-17","0.00","1.2",,"29","16",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-18","0.00","1.6",,"43","9",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-19","0.00","0.4",,"54","31",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-20","0.00","0.4",,"54","28",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-21","0.05","0.4",,"51","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-22","0.41","5.5",,"27","23",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-23","0.00","2.0",,"30","17",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-24","0.00","1.6",,"28","16",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-25","0.01","1.6",,"22","8",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-26","0.00","2.4",,"30","2",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-27","0.00","2.4",,"40","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-28","0.11","0.8",,"32","25",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-29","0.09","2.8",,"30","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-30","0.00","2.4",,"39","8",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-03-31","0.00","0.8",,"41","25",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-01","0.00","1.2",,"34","25",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-02","0.00","0.8",,"36","15",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-03","0.00","0.8",,"31","23",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-04","0.00","0.8",,"38","21",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-05","0.00","0.4",,"49","21",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-06","0.00","0.4",,"56","32",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-07","0.00",,,"54","28",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-08","0.00","0.8",,"53","25",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-09","0.00","0.4",,"62","29",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-10","0.00","0.4",,"59","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-11","0.00","0.8",,"61","27",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-12","0.00","0.8",,"58","33",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-13","0.00","0.4",,"53","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-14","0.00","0.4",,"38","29",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-15","0.00","0.4",,"45","29",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-16","0.00","0.4",,"51","22",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-17","0.00",,,"60","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-18","0.00",,,"58","36",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-19","0.00",,,"59","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-20","0.00",,,"70","38",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-21","0.00",,,"71","39",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-22","0.07",,,"55","26",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-23","0.07","1.2",,"30","17",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-24","0.00","0.8",,"40","17",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-25","0.01","0.4",,"45","27",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-26","0.00","0.8",,"44","24",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-27","0.00","1.2",,"36","24",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-28","0.00","0.4",,"38","20",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-29","0.00","0.4",,"44","18",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-04-30","0.00",,,"47","22",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-01","0.00","0.4",,"58","28",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-02","0.00",,,"62","28",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-03","0.00",,,"66","34",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-04","0.00",,,"62","41",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-05","0.02",,,"62","35",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-06","0.00",,,"60","33",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-07","0.09",,,"48","38",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-08","0.00","0.4",,"53","34",,
"CA003031094","CALGARY INTERNATIONAL CS, AB CA","2009-05-09","0.11",,,"56","36",,
